# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Feb  6 04:36:20 2018
#
# CONSTRAINT:  where (kepler_name not null
# CONSTRAINT:  and koi_disposition like '%CONFIRMED%'
# CONSTRAINT:  and koi_count > 1
# CONSTRAINT:  )
# CONSTRAINT:  order by kepler_name asc
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_count:      Number of Planets
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_count,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
63,10187017,K00082.01,Kepler-102 e,CONFIRMED,CANDIDATE,16.145671932,7.4400000e-06,-7.4400000e-06,134.7548770,3.940000e-04,-3.940000e-04,3.72360,0.02500,-0.02500,941.1,4.200e+00,-4.200e+00,2.48,0.16,-1.000e-01,6,4900.00,98.00,-98.00,0.7410,0.0480,-0.0300,281.482730,47.208031,11.492
64,10187017,K00082.02,Kepler-102 d,CONFIRMED,CANDIDATE,10.311747860,1.2260000e-05,-1.2260000e-05,134.0799100,1.000000e-03,-1.000000e-03,3.18180,0.03140,-0.03140,275.9,3.600e+00,-3.600e+00,1.34,0.09,-5.000e-02,6,4900.00,98.00,-98.00,0.7410,0.0480,-0.0300,281.482730,47.208031,11.492
65,10187017,K00082.03,Kepler-102 f,CONFIRMED,CANDIDATE,27.453614600,1.0770000e-04,-1.0770000e-04,145.0286600,3.450000e-03,-3.450000e-03,3.74700,0.10100,-0.10100,136.4,5.300e+00,-5.300e+00,0.95,0.06,-4.000e-02,6,4900.00,98.00,-98.00,0.7410,0.0480,-0.0300,281.482730,47.208031,11.492
66,10187017,K00082.04,Kepler-102 c,CONFIRMED,CANDIDATE,7.071361190,3.0850000e-05,-3.0850000e-05,139.9876300,3.810000e-03,-3.810000e-03,2.75700,0.11100,-0.11100,65.7,3.200e+00,-3.200e+00,0.63,0.04,-2.000e-02,6,4900.00,98.00,-98.00,0.7410,0.0480,-0.0300,281.482730,47.208031,11.492
67,10187017,K00082.05,Kepler-102 b,CONFIRMED,CANDIDATE,5.286919960,2.9470000e-05,-2.9470000e-05,135.8542700,4.520000e-03,-4.520000e-03,2.57900,0.13600,-0.13600,41.5,2.900e+00,-2.900e+00,0.51,0.03,-2.000e-02,6,4900.00,98.00,-98.00,0.7410,0.0480,-0.0300,281.482730,47.208031,11.492
70,5866724,K00085.01,Kepler-65 c,CONFIRMED,CANDIDATE,5.859935955,3.7820000e-06,-3.7820000e-06,132.0405280,5.420000e-04,-5.420000e-04,4.01850,0.01680,-0.01680,322.8,1.900e+00,-1.900e+00,2.56,0.10,-1.500e-01,3,6181.00,68.00,-86.00,1.4240,0.0560,-0.0850,288.688690,41.151180,11.018
71,5866724,K00085.02,Kepler-65 b,CONFIRMED,CANDIDATE,2.154911236,2.5070000e-06,-2.5070000e-06,133.4986130,9.390000e-04,-9.390000e-04,3.13410,0.02700,-0.02700,99.7,1.400e+00,-1.400e+00,1.42,0.06,-8.000e-02,3,6181.00,68.00,-86.00,1.4240,0.0560,-0.0850,288.688690,41.151180,11.018
72,5866724,K00085.03,Kepler-65 d,CONFIRMED,CANDIDATE,8.131213890,1.9020000e-05,-1.9020000e-05,137.9925400,1.880000e-03,-1.880000e-03,4.23860,0.05540,-0.05540,111.8,2.200e+00,-2.200e+00,1.58,0.06,-1.000e-01,3,6181.00,68.00,-86.00,1.4240,0.0560,-0.0850,288.688690,41.151180,11.018
75,8056665,K00089.01,Kepler-462 b,CONFIRMED,CANDIDATE,84.687752400,1.7780000e-04,-1.7780000e-04,150.5708400,1.720000e-03,-1.720000e-03,10.02480,0.05200,-0.05200,347.7,4.100e+00,-4.100e+00,3.37,0.58,-7.800e-01,2,6688.00,120.00,-147.00,1.7900,0.3110,-0.4150,299.821170,43.814270,11.642
79,6462863,K00094.01,Kepler-89 d,CONFIRMED,CANDIDATE,22.342964828,3.4040000e-06,-3.4040000e-06,132.7416410,1.280000e-04,-1.280000e-04,6.66405,0.00390,-0.00390,5612.8,5.300e+00,-5.300e+00,9.99,1.82,-1.500e+00,4,6181.00,111.00,-135.00,1.3310,0.2430,-0.1990,297.333070,41.891121,12.205
80,6462863,K00094.02,Kepler-89 c,CONFIRMED,CANDIDATE,10.423677439,7.1730000e-06,-7.1730000e-06,138.0090410,5.840000e-04,-5.840000e-04,5.22570,0.02100,-0.02100,777.3,4.100e+00,-4.100e+00,3.72,0.67,-5.600e-01,4,6181.00,111.00,-135.00,1.3310,0.2430,-0.1990,297.333070,41.891121,12.205
81,6462863,K00094.03,Kepler-89 e,CONFIRMED,CANDIDATE,54.319961510,3.3910000e-05,-3.3910000e-05,161.2398690,5.030000e-04,-5.030000e-04,8.58580,0.02430,-0.02430,1975.0,7.200e+00,-7.200e+00,6.07,1.11,-9.100e-01,4,6181.00,111.00,-135.00,1.3310,0.2430,-0.1990,297.333070,41.891121,12.205
82,6462863,K00094.04,Kepler-89 b,CONFIRMED,CANDIDATE,3.743166733,5.6140000e-06,-5.6140000e-06,131.6196700,1.420000e-03,-1.420000e-03,3.68880,0.04210,-0.04210,126.3,2.200e+00,-2.200e+00,1.50,0.27,-2.300e-01,4,6181.00,111.00,-135.00,1.3310,0.2430,-0.1990,297.333070,41.891121,12.205
93,4914423,K00108.01,Kepler-103 b,CONFIRMED,CANDIDATE,15.965327180,1.3680000e-05,-1.3680000e-05,142.1780330,6.880000e-04,-6.880000e-04,4.58370,0.02310,-0.02310,482.2,3.800e+00,-3.800e+00,3.33,0.21,-1.700e-01,2,5880.00,78.00,-78.00,1.4330,0.0900,-0.0720,288.984560,40.064529,12.287
94,4914423,K00108.02,Kepler-103 c,CONFIRMED,CANDIDATE,179.609803000,1.8230000e-04,-1.8230000e-04,295.3303610,4.470000e-04,-4.470000e-04,13.75500,0.11900,-0.11900,1273.0,7.700e+00,-7.700e+00,5.47,0.34,-2.800e-01,2,5880.00,78.00,-78.00,1.4330,0.0900,-0.0720,288.984560,40.064529,12.287
97,6678383,K00111.01,Kepler-104 b,CONFIRMED,CANDIDATE,11.427550984,8.1500000e-06,-8.1500000e-06,137.6137110,5.570000e-04,-5.570000e-04,4.60740,0.01750,-0.01750,500.9,3.300e+00,-3.300e+00,2.35,0.32,-2.700e-01,3,5979.00,108.00,-120.00,1.0050,0.1380,-0.1130,287.604610,42.166779,12.596
98,6678383,K00111.02,Kepler-104 c,CONFIRMED,CANDIDATE,23.668346350,3.0030000e-05,-3.0030000e-05,132.7142100,1.040000e-03,-1.040000e-03,5.82970,0.03780,-0.03780,449.4,4.200e+00,-4.200e+00,2.32,0.31,-2.600e-01,3,5979.00,108.00,-120.00,1.0050,0.1380,-0.1130,287.604610,42.166779,12.596
99,6678383,K00111.03,Kepler-104 d,CONFIRMED,CANDIDATE,51.755305040,8.5350000e-05,-8.5350000e-05,271.0880800,1.250000e-03,-1.250000e-03,7.43550,0.05790,-0.05790,609.2,5.600e+00,-5.600e+00,2.61,0.35,-3.000e-01,3,5979.00,108.00,-120.00,1.0050,0.1380,-0.1130,287.604610,42.166779,12.596
100,10984090,K00112.01,Kepler-466 b,CONFIRMED,CANDIDATE,51.079264510,6.4560000e-05,-6.4560000e-05,185.1808700,9.810000e-04,-9.810000e-04,6.37290,0.03120,-0.03120,736.8,6.000e+00,-6.000e+00,2.75,0.39,-2.800e-01,2,5833.00,105.00,-117.00,1.0220,0.1430,-0.1070,295.648710,48.495560,12.772
101,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,3.709214104,6.5360000e-06,-6.5360000e-06,133.9831800,1.430000e-03,-1.430000e-03,2.63020,0.04270,-0.04270,131.1,3.000e+00,-3.000e+00,1.16,0.17,-1.200e-01,2,5833.00,105.00,-117.00,1.0220,0.1430,-0.1070,295.648710,48.495560,12.772
103,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,5.412203927,3.0520000e-06,-3.0520000e-06,133.1430890,4.680000e-04,-4.680000e-04,2.94720,0.02400,-0.02400,601.6,4.000e+00,-4.000e+00,2.94,0.43,-3.800e-01,3,5779.00,104.00,-115.00,1.0870,0.1570,-0.1420,287.887330,46.276241,12.791
104,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,7.125943870,1.4060000e-05,-1.4060000e-05,139.0049200,1.590000e-03,-1.590000e-03,3.00140,0.03840,-0.03840,192.4,4.400e+00,-4.400e+00,1.79,0.26,-2.300e-01,3,5779.00,104.00,-115.00,1.0870,0.1570,-0.1420,287.887330,46.276241,12.791
106,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,13.570782810,1.5850000e-05,-1.5850000e-05,136.2791940,9.570000e-04,-9.570000e-04,3.35390,0.04890,-0.04890,511.7,6.300e+00,-6.300e+00,2.64,0.40,-2.700e-01,4,5854.00,105.00,-117.00,1.0120,0.1540,-0.1030,300.863980,44.337551,12.882
107,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,43.844397210,9.6130000e-05,-9.6130000e-05,151.9353800,1.920000e-03,-1.920000e-03,6.80200,0.11900,-0.11900,615.2,7.700e+00,-7.700e+00,2.87,0.43,-3.000e-01,4,5854.00,105.00,-117.00,1.0120,0.1540,-0.1030,300.863980,44.337551,12.882
108,8395660,K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,6.164876000,4.6350000e-05,-4.6350000e-05,135.6391600,6.610000e-03,-6.610000e-03,3.26200,0.18600,-0.18600,55.8,4.300e+00,-4.300e+00,0.79,0.13,-8.000e-02,4,5854.00,105.00,-117.00,1.0120,0.1540,-0.1030,300.863980,44.337551,12.882
109,8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,23.980085400,2.0030000e-04,-2.0030000e-04,147.5370000,6.470000e-03,-6.470000e-03,5.35100,0.17700,-0.17700,104.0,6.500e+00,-6.500e+00,1.31,0.20,-1.300e-01,4,5854.00,105.00,-117.00,1.0120,0.1540,-0.1030,300.863980,44.337551,12.882
110,10875245,K00117.01,Kepler-107 e,CONFIRMED,CANDIDATE,14.749148250,2.1740000e-05,-2.1740000e-05,138.7779900,1.180000e-03,-1.180000e-03,6.09950,0.04400,-0.04400,430.2,4.200e+00,-4.200e+00,2.89,0.13,-1.000e-01,4,5847.00,64.00,-75.00,1.4020,0.0630,-0.0460,297.028260,48.208611,12.487
111,10875245,K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE,4.901449760,1.0700000e-05,-1.0700000e-05,138.6054800,1.750000e-03,-1.750000e-03,4.16540,0.05850,-0.05850,140.7,2.900e+00,-2.900e+00,1.70,0.08,-5.000e-02,4,5847.00,64.00,-75.00,1.4020,0.0630,-0.0460,297.028260,48.208611,12.487
112,10875245,K00117.03,Kepler-107 b,CONFIRMED,CANDIDATE,3.180027898,7.2780000e-06,-7.2780000e-06,133.4986300,1.810000e-03,-1.810000e-03,3.57970,0.05580,-0.05580,120.3,2.700e+00,-2.700e+00,1.53,0.07,-5.000e-02,4,5847.00,64.00,-75.00,1.4020,0.0630,-0.0460,297.028260,48.208611,12.487
113,10875245,K00117.04,Kepler-107 d,CONFIRMED,CANDIDATE,7.958253280,7.6730000e-05,-7.6730000e-05,137.8021900,7.670000e-03,-7.670000e-03,4.37700,0.22900,-0.22900,50.0,3.700e+00,-3.700e+00,1.06,0.05,-4.000e-02,4,5847.00,64.00,-75.00,1.4020,0.0630,-0.0460,297.028260,48.208611,12.487
115,9471974,K00119.01,Kepler-108 b,CONFIRMED,CANDIDATE,49.183941850,2.4750000e-05,-2.4750000e-05,141.9119240,5.690000e-04,-5.690000e-04,11.33640,0.05100,-0.05100,1646.2,5.400e+00,-5.400e+00,8.20,0.50,-5.500e-01,2,5626.00,89.00,-78.00,2.0570,0.1250,-0.1380,294.559170,46.062328,12.654
116,9471974,K00119.02,Kepler-108 c,CONFIRMED,CANDIDATE,190.320046800,5.3270000e-04,-5.3270000e-04,312.6849800,1.470000e-03,-1.470000e-03,15.28400,0.20900,-0.20900,1141.7,8.500e+00,-8.500e+00,7.78,0.48,-5.200e-01,2,5626.00,89.00,-78.00,2.0570,0.1250,-0.1380,294.559170,46.062328,12.654
120,5094751,K00123.01,Kepler-109 b,CONFIRMED,CANDIDATE,6.481633073,6.0040000e-06,-6.0040000e-06,122.9776570,7.550000e-04,-7.550000e-04,3.78400,0.03390,-0.03390,298.5,2.700e+00,-2.700e+00,2.54,0.11,-1.200e-01,2,5945.00,71.00,-71.00,1.3020,0.0580,-0.0580,290.392730,40.284870,12.365
121,5094751,K00123.02,Kepler-109 c,CONFIRMED,CANDIDATE,21.222611950,2.9080000e-05,-2.9080000e-05,137.5740300,1.130000e-03,-1.130000e-03,6.50930,0.04200,-0.04200,366.0,3.500e+00,-3.500e+00,2.48,0.11,-1.100e-01,2,5945.00,71.00,-71.00,1.3020,0.0580,-0.0580,290.392730,40.284870,12.365
122,11086270,K00124.01,Kepler-110 b,CONFIRMED,FALSE POSITIVE,12.691043870,2.2980000e-05,-2.2980000e-05,137.1259400,1.490000e-03,-1.490000e-03,3.77270,0.04520,-0.04520,252.1,4.600e+00,-4.600e+00,2.57,0.40,-6.500e-01,2,5869.00,117.00,-117.00,1.6260,0.2540,-0.4130,292.929140,48.602810,12.935
123,11086270,K00124.02,Kepler-110 c,CONFIRMED,CANDIDATE,31.719810130,6.3100000e-05,-6.3100000e-05,142.8208300,1.640000e-03,-1.640000e-03,4.81900,0.04980,-0.04980,363.4,6.100e+00,-6.100e+00,3.09,0.49,-7.800e-01,2,5869.00,117.00,-117.00,1.6260,0.2540,-0.4130,292.929140,48.602810,12.935
137,8644288,K00137.01,Kepler-18 c,CONFIRMED,CANDIDATE,7.641567589,1.7690000e-06,-1.7690000e-06,135.4075640,1.910000e-04,-1.910000e-04,3.41018,0.00733,-0.00733,2269.7,5.800e+00,-5.800e+00,4.91,0.30,-3.300e-01,3,5356.00,112.00,-72.00,1.0550,0.0650,-0.0720,298.079440,44.746319,13.549
138,8644288,K00137.02,Kepler-18 d,CONFIRMED,CANDIDATE,14.858908520,3.8080000e-06,-3.8080000e-06,128.1548690,2.170000e-04,-2.170000e-04,3.52520,0.01330,-0.01330,3269.0,7.700e+00,-7.700e+00,5.94,0.37,-4.000e-01,3,5356.00,112.00,-72.00,1.0550,0.0650,-0.0720,298.079440,44.746319,13.549
139,8644288,K00137.03,Kepler-18 b,CONFIRMED,CANDIDATE,3.504691252,3.0910000e-06,-3.0910000e-06,133.5119410,7.140000e-04,-7.140000e-04,1.98110,0.02270,-0.02270,315.1,5.100e+00,-5.100e+00,2.03,0.13,-1.400e-01,3,5356.00,112.00,-72.00,1.0550,0.0650,-0.0720,298.079440,44.746319,13.549
141,8559644,K00139.01,Kepler-111 c,CONFIRMED,CANDIDATE,224.778935500,2.5690000e-04,-2.5690000e-04,142.0953380,9.210000e-04,-9.210000e-04,11.18990,0.09160,-0.09160,3487.5,1.580e+01,-1.580e+01,7.67,1.33,-1.200e+00,2,5873.00,93.00,-129.00,1.2350,0.2130,-0.1940,291.653170,44.688271,13.492
142,8559644,K00139.02,Kepler-111 b,CONFIRMED,CANDIDATE,3.341799486,4.9540000e-06,-4.9540000e-06,141.3547200,1.230000e-03,-1.230000e-03,2.92540,0.03490,-0.03490,178.2,4.000e+00,-4.000e+00,1.67,0.29,-2.600e-01,2,5873.00,93.00,-129.00,1.2350,0.2130,-0.1940,291.653170,44.688271,13.492
150,5735762,K00148.01,Kepler-48 b,CONFIRMED,CANDIDATE,4.778003060,3.3820000e-06,-3.3820000e-06,124.0614650,5.880000e-04,-5.880000e-04,2.73610,0.01840,-0.01840,473.0,4.600e+00,-4.600e+00,1.85,0.13,-1.400e-01,3,5192.00,103.00,-103.00,0.8730,0.0650,-0.0650,299.139220,40.949020,13.040
151,5735762,K00148.02,Kepler-48 c,CONFIRMED,CANDIDATE,9.673958488,5.4620000e-06,-5.4620000e-06,125.3394180,4.660000e-04,-4.660000e-04,3.26410,0.01650,-0.01650,952.7,5.800e+00,-5.800e+00,2.63,0.20,-1.900e-01,3,5192.00,103.00,-103.00,0.8730,0.0650,-0.0650,299.139220,40.949020,13.040
152,5735762,K00148.03,Kepler-48 d,CONFIRMED,CANDIDATE,42.896450240,9.4310000e-05,-9.4310000e-05,146.0613000,1.860000e-03,-1.860000e-03,5.68970,0.05600,-0.05600,555.3,8.600e+00,-8.600e+00,2.00,0.15,-1.500e-01,3,5192.00,103.00,-103.00,0.8730,0.0650,-0.0650,299.139220,40.949020,13.040
154,7626506,K00150.01,Kepler-112 b,CONFIRMED,CANDIDATE,8.408878137,6.1280000e-06,-6.1280000e-06,134.0063660,6.060000e-04,-6.060000e-04,3.49670,0.01960,-0.01960,798.9,6.100e+00,-6.100e+00,2.28,0.19,-2.000e-01,2,5551.00,111.00,-111.00,0.8120,0.0700,-0.0700,296.981020,43.209751,13.771
155,7626506,K00150.02,Kepler-112 c,CONFIRMED,CANDIDATE,28.574269200,4.0600000e-05,-4.0600000e-05,143.8315000,1.130000e-03,-1.130000e-03,4.94270,0.04030,-0.04030,824.9,9.200e+00,-9.200e+00,2.32,0.19,-2.000e-01,2,5551.00,111.00,-111.00,0.8120,0.0700,-0.0700,296.981020,43.209751,13.771
157,8394721,K00152.01,Kepler-79 d,CONFIRMED,CANDIDATE,52.090816270,4.2060000e-05,-4.2060000e-05,158.7446650,6.700000e-04,-6.700000e-04,8.63880,0.02280,-0.02280,2894.1,1.260e+01,-1.260e+01,7.14,1.33,-1.090e+00,4,6198.00,111.00,-136.00,1.3240,0.2470,-0.2020,300.517120,44.381580,13.914
158,8394721,K00152.02,Kepler-79 c,CONFIRMED,CANDIDATE,27.402298590,5.1360000e-05,-5.1360000e-05,133.6284000,1.500000e-03,-1.500000e-03,6.84910,0.04790,-0.04790,747.5,1.000e+01,-1.000e+01,3.63,0.67,-5.600e-01,4,6198.00,111.00,-136.00,1.3240,0.2470,-0.2020,300.517120,44.381580,13.914
159,8394721,K00152.03,Kepler-79 b,CONFIRMED,CANDIDATE,13.484576680,2.3000000e-05,-2.3000000e-05,136.6180800,1.320000e-03,-1.320000e-03,5.01970,0.03950,-0.03950,653.5,8.800e+00,-8.800e+00,3.39,0.63,-5.200e-01,4,6198.00,111.00,-136.00,1.3240,0.2470,-0.2020,300.517120,44.381580,13.914
160,8394721,K00152.04,Kepler-79 e,CONFIRMED,CANDIDATE,81.063789500,4.0770000e-04,-4.0770000e-04,139.5349200,4.300000e-03,-4.300000e-03,3.00100,0.12600,-0.12600,476.0,2.600e+01,-2.600e+01,3.01,0.56,-4.600e-01,4,6198.00,111.00,-136.00,1.3240,0.2470,-0.2020,300.517120,44.381580,13.914
