# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Feb  2 04:13:06 2018
#
# CONSTRAINT:  where (koi_disposition like '%CANDIDATE%'
# CONSTRAINT:  and koi_count > 2
# CONSTRAINT:  )
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_count:      Number of Planets
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_model_snr,koi_count,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
452,11566064,K00353.02,,CANDIDATE,CANDIDATE,30.652893500,2.2340000e-04,-2.2340000e-04,135.0421100,6.240000e-03,-6.240000e-03,0.682,0.039,-0.493,4.99000,0.16100,-0.16100,269.7,1.620e+01,-1.620e+01,2.86,0.49,-6.000e-01,780.0,,,17.40,3,6200.00,124.00,-124.00,1.6400,0.2810,-0.3430,295.212680,49.562180,13.374
453,11566064,K00353.03,,CANDIDATE,CANDIDATE,11.161938400,1.6770000e-04,-1.6770000e-04,133.5538000,1.300000e-02,-1.300000e-02,0.739,0.235,-0.532,5.19500,0.40700,-0.40700,124.4,1.090e+01,-1.090e+01,1.97,0.34,-4.100e-01,1093.0,,,13.40,3,6200.00,124.00,-124.00,1.6400,0.2810,-0.3430,295.212680,49.562180,13.374
531,6508221,K00416.03,,CANDIDATE,CANDIDATE,9.747658780,9.8820000e-05,-9.8820000e-05,139.1642400,7.960000e-03,-7.960000e-03,0.658,0.295,-0.434,2.62000,0.31200,-0.31200,102.0,1.150e+01,-1.150e+01,0.78,0.06,-3.000e-02,679.0,,,11.60,3,5176.00,102.00,-102.00,0.7380,0.0540,-0.0310,286.865480,41.989079,14.290
542,10189546,K00427.01,,CANDIDATE,CANDIDATE,24.614806130,3.2270000e-05,-3.2270000e-05,191.7412250,9.990000e-04,-9.990000e-04,0.435,0.268,-0.297,2.66020,0.04070,-0.04070,1798.0,2.880e+01,-2.880e+01,4.20,0.45,-5.000e-01,586.0,,,68.40,3,5312.00,79.00,-79.00,0.9860,0.1070,-0.1170,283.022800,47.261131,14.621
609,10460984,K00474.03,,CANDIDATE,CANDIDATE,94.886902000,1.2160000e-03,-1.2160000e-03,214.8287900,6.590000e-03,-6.590000e-03,0.982,40.040,-0.023,6.92300,0.33300,-0.33300,641.7,2.960e+01,-2.960e+01,4.24,0.69,-5.600e-01,429.0,,,25.50,4,5888.00,106.00,-117.00,1.0970,0.1790,-0.1460,287.780850,47.629910,14.282
743,7119481,K00566.02,,CANDIDATE,CANDIDATE,14.157371700,2.2730000e-04,-2.2730000e-04,135.5991000,1.320000e-02,-1.320000e-02,0.138,0.311,-0.138,3.78600,0.33000,-0.33000,130.0,1.600e+01,-1.600e+01,1.10,0.35,-1.100e-01,778.0,,,9.30,3,6122.00,182.00,-200.00,0.9640,0.3020,-0.1010,292.316010,42.626251,14.718
744,7119481,K00566.03,,CANDIDATE,CANDIDATE,42.068554000,1.0610000e-03,-1.0610000e-03,165.0211000,2.600000e-02,-2.600000e-02,0.022,0.441,-0.022,5.72300,0.49600,-0.49600,186.3,1.890e+01,-1.890e+01,1.32,0.41,-1.400e-01,541.0,,,9.80,3,6122.00,182.00,-200.00,0.9640,0.3020,-0.1010,292.316010,42.626251,14.718
791,9958962,K00593.03,,CANDIDATE,CANDIDATE,51.067435500,3.4970000e-04,-3.4970000e-04,147.6094100,5.700000e-03,-5.700000e-03,0.482,0.472,-0.274,4.37400,0.16900,-0.16900,597.5,3.430e+01,-3.430e+01,2.44,0.76,-2.500e-01,499.0,,,18.70,4,6004.00,181.00,-199.00,0.9770,0.3020,-0.1010,294.989140,46.838329,14.957
792,9958962,K00593.04,,CANDIDATE,CANDIDATE,240.192808000,8.9890000e-03,-8.9890000e-03,168.3047000,3.070000e-02,-3.070000e-02,0.814,0.141,-0.575,9.72000,0.62700,-0.62700,605.8,5.400e+01,-5.400e+01,2.68,0.83,-2.800e-01,298.0,,,12.00,4,6004.00,181.00,-199.00,0.9770,0.3020,-0.1010,294.989140,46.838329,14.957
802,10973664,K00601.02,,CANDIDATE,CANDIDATE,11.678942360,2.4520000e-05,-2.4520000e-05,131.5119000,1.770000e-03,-1.770000e-03,0.940,0.015,-0.712,1.26410,0.05150,-0.05150,1185.1,6.380e+01,-6.380e+01,4.17,1.31,-4.400e-01,830.0,,,23.10,3,6122.00,169.00,-190.00,0.9640,0.3030,-0.1010,290.849060,48.416012,14.697
817,6587002,K00612.03,,CANDIDATE,CANDIDATE,122.080495300,5.6770000e-04,-5.6770000e-04,155.0253200,4.010000e-03,-4.010000e-03,0.957,0.005,-0.668,4.05400,0.29900,-0.29900,799.9,3.720e+01,-3.720e+01,2.92,0.20,-1.500e-01,297.0,,,23.30,3,5132.00,102.00,-102.00,0.7700,0.0540,-0.0400,284.968510,42.079201,14.157
1002,10265898,K00732.02,,CANDIDATE,CANDIDATE,3.295345670,2.5690000e-05,-2.5690000e-05,132.4879900,7.200000e-03,-7.200000e-03,0.729,0.009,-0.534,1.90200,0.22100,-0.22100,141.9,1.700e+01,-1.700e+01,1.23,0.32,-1.000e-01,1139.0,,,10.40,3,5550.00,166.00,-183.00,0.9540,0.2520,-0.0790,288.327910,47.381592,15.342
1003,10265898,K00732.03,,CANDIDATE,CANDIDATE,5.254493930,5.6130000e-05,-5.6130000e-05,132.5562400,7.960000e-03,-7.960000e-03,0.837,0.108,-0.597,3.07800,0.19700,-0.19700,169.0,1.460e+01,-1.460e+01,1.41,0.38,-1.100e-01,975.0,,,12.60,3,5550.00,166.00,-183.00,0.9540,0.2520,-0.0790,288.327910,47.381592,15.342
1031,10662202,K00750.02,,CANDIDATE,CANDIDATE,5.044139870,3.5190000e-05,-3.5190000e-05,132.5198600,5.400000e-03,-5.400000e-03,0.727,0.242,-0.508,1.62300,0.21000,-0.21000,172.0,2.270e+01,-2.270e+01,1.18,0.04,-1.000e-01,862.0,,,10.20,3,4954.00,79.00,-79.00,0.8280,0.0320,-0.0650,290.465120,47.929180,15.377
1032,10662202,K00750.03,,CANDIDATE,CANDIDATE,14.516741000,1.5640000e-04,-1.5640000e-04,138.8379900,8.780000e-03,-8.780000e-03,0.851,0.101,-0.643,2.70600,0.24300,-0.24300,227.2,2.510e+01,-2.510e+01,1.45,0.06,-1.100e-01,606.0,,,10.10,3,4954.00,79.00,-79.00,0.8280,0.0320,-0.0650,290.465120,47.929180,15.377
1081,12366084,K00787.03,,CANDIDATE,CANDIDATE,0.589376952,6.4840000e-06,-6.4840000e-06,131.8694000,1.090000e-02,-1.090000e-02,0.491,0.039,-0.446,1.71000,0.25200,-0.25200,80.7,8.800e+00,-8.800e+00,0.93,0.14,-7.000e-02,2162.0,,,11.40,3,5714.00,77.00,-77.00,1.0150,0.1480,-0.0790,295.816160,51.121738,15.367
1151,5792202,K00841.03,,CANDIDATE,CANDIDATE,6.546261490,2.6680000e-05,-2.6680000e-05,133.8596400,3.170000e-03,-3.170000e-03,0.644,0.295,-0.438,2.75000,0.11100,-0.11100,655.9,3.000e+01,-3.000e+01,2.19,0.22,-8.000e-02,810.0,,,24.80,5,5251.00,105.00,-105.00,0.8170,0.0800,-0.0290,292.236760,41.085880,15.855
1229,7825899,K00896.03,,CANDIDATE,CANDIDATE,28.867210700,3.3800000e-04,-3.3800000e-04,156.1957800,9.350000e-03,-9.350000e-03,0.041,0.415,-0.041,3.78200,0.31200,-0.31200,347.1,2.850e+01,-2.850e+01,1.51,0.14,-5.000e-02,493.0,,,12.00,3,5191.00,103.00,-103.00,0.8370,0.0780,-0.0300,293.061400,43.581360,15.258
1291,9347899,K00935.04,,CANDIDATE,CANDIDATE,9.617314260,3.3500000e-05,-3.3500000e-05,142.4747900,2.840000e-03,-2.840000e-03,0.331,0.081,-0.331,3.86920,0.07720,-0.07720,234.0,1.360e+01,-1.360e+01,1.94,0.29,-3.800e-01,1010.0,,,18.20,4,6035.00,120.00,-120.00,1.2570,0.1870,-0.2500,294.023010,45.853081,15.237
1309,9605514,K00945.01,,CANDIDATE,CANDIDATE,25.847495800,1.7020000e-04,-1.7020000e-04,188.8740000,4.620000e-03,-4.620000e-03,0.054,0.421,-0.054,5.98500,0.14800,-0.14800,537.4,2.140e+01,-2.140e+01,2.40,0.75,-2.500e-01,672.0,,,27.30,3,6297.00,169.00,-225.00,1.0310,0.3200,-0.1070,297.951600,46.264721,15.083
1310,9605514,K00945.02,,CANDIDATE,CANDIDATE,40.715561000,2.0960000e-04,-2.0960000e-04,146.3648500,4.080000e-03,-4.080000e-03,0.008,0.407,-0.008,6.89400,0.13100,-0.13100,680.9,2.520e+01,-2.520e+01,2.70,0.84,-2.800e-01,578.0,,,28.90,3,6297.00,169.00,-225.00,1.0310,0.3200,-0.1070,297.951600,46.264721,15.083
1392,8158127,K01015.03,,CANDIDATE,CANDIDATE,16.997289400,1.2860000e-04,-1.2860000e-04,143.8730100,5.610000e-03,-5.610000e-03,0.825,0.142,-0.593,2.58500,0.20900,-0.20900,225.0,2.290e+01,-2.290e+01,3.14,0.43,-8.100e-01,956.0,,,11.10,3,5897.00,79.00,-79.00,1.8600,0.2590,-0.4810,289.096890,44.004379,14.500
1462,10141900,K01082.01,,CANDIDATE,CANDIDATE,6.503270350,3.1340000e-05,-3.1340000e-05,135.2665700,3.570000e-03,-3.570000e-03,0.080,0.375,-0.080,2.59100,0.13100,-0.13100,418.3,2.410e+01,-2.410e+01,1.67,0.08,-1.200e-01,804.0,,,19.00,4,4999.00,79.00,-79.00,0.8430,0.0400,-0.0600,292.144470,47.157349,15.692
1463,10141900,K01082.02,,CANDIDATE,CANDIDATE,4.096676240,1.9560000e-05,-1.9560000e-05,133.0983300,3.760000e-03,-3.760000e-03,0.142,0.320,-0.142,2.19000,0.12200,-0.12200,302.3,2.040e+01,-2.040e+01,1.42,0.07,-1.000e-01,938.0,,,16.20,4,4999.00,79.00,-79.00,0.8430,0.0400,-0.0600,292.144470,47.157349,15.692
1465,10141900,K01082.04,,CANDIDATE,CANDIDATE,9.655047300,7.3300000e-05,-7.3300000e-05,137.0750500,6.920000e-03,-6.920000e-03,0.124,0.330,-0.124,2.75200,0.20500,-0.20500,313.1,2.740e+01,-2.740e+01,1.45,0.06,-1.100e-01,705.0,,,12.20,4,4999.00,79.00,-79.00,0.8430,0.0400,-0.0600,292.144470,47.157349,15.692
1493,3240158,K01106.03,,CANDIDATE,CANDIDATE,13.229820300,2.7830000e-04,-2.7830000e-04,134.3757000,1.950000e-02,-1.950000e-02,0.435,0.046,-0.414,3.56600,0.67900,-0.67900,157.8,1.500e+01,-1.500e+01,1.50,0.24,-1.400e-01,856.0,,,10.00,3,6049.00,72.00,-91.00,1.1760,0.1840,-0.1070,292.713100,38.358212,14.818
1521,6359320,K01127.03,,CANDIDATE,CANDIDATE,2.836689310,2.8190000e-05,-2.8190000e-05,353.8153100,6.360000e-03,-6.360000e-03,0.330,0.130,-0.330,3.03100,0.23000,-0.23000,166.1,1.570e+01,-1.570e+01,1.19,0.39,-1.200e-01,1242.0,,,12.10,3,5831.00,184.00,-205.00,0.9210,0.3010,-0.0940,290.215180,41.775970,15.808
1549,8280511,K01151.04,,CANDIDATE,CANDIDATE,17.453294500,1.5110000e-04,-1.5110000e-04,146.6624400,7.300000e-03,-7.300000e-03,0.357,0.093,-0.357,4.02700,0.20700,-0.20700,79.3,7.000e+00,-7.000e+00,0.76,0.08,-6.000e-02,639.0,,,12.00,5,5528.00,110.00,-110.00,0.8530,0.0890,-0.0670,283.002960,44.284229,13.404
1550,8280511,K01151.05,,CANDIDATE,CANDIDATE,21.720336200,3.0870000e-04,-3.0870000e-04,134.7659000,1.290000e-02,-1.290000e-02,0.311,0.150,-0.311,4.25200,0.37000,-0.37000,87.8,8.100e+00,-8.100e+00,0.80,0.08,-7.000e-02,594.0,,,12.00,5,5528.00,110.00,-110.00,0.8530,0.0890,-0.0670,283.002960,44.284229,13.404
1576,10350571,K01175.02,,CANDIDATE,CANDIDATE,17.157236000,1.8620000e-04,-1.8620000e-04,133.6895100,8.990000e-03,-8.990000e-03,0.238,0.218,-0.238,11.28400,0.24800,-0.24800,110.4,5.000e+00,-5.000e+00,1.55,0.24,-3.600e-01,844.0,,,23.60,3,5676.00,115.00,-104.00,1.4870,0.2290,-0.3440,295.920650,47.448608,13.290
1645,6677841,K01236.04,,CANDIDATE,CANDIDATE,98.353149000,1.7930000e-03,-1.7930000e-03,217.8830000,1.390000e-02,-1.390000e-02,0.906,0.029,-0.623,24.70800,0.65800,-0.65800,423.0,1.440e+01,-1.440e+01,4.13,0.69,-9.200e-01,552.0,,,30.50,3,6366.00,116.00,-116.00,1.6970,0.2850,-0.3800,287.391200,42.194832,13.659
1672,8630788,K01258.03,,CANDIDATE,CANDIDATE,148.272013000,8.2540000e-04,-8.2540000e-04,138.0055700,4.690000e-03,-4.690000e-03,0.883,0.069,-0.612,4.19200,0.17400,-0.17400,1707.4,8.490e+01,-8.490e+01,4.30,1.12,-3.800e-01,321.0,,,21.80,3,5717.00,156.00,-173.00,0.8840,0.2300,-0.0770,294.108180,44.770699,15.773
1771,4077526,K01336.04,,CANDIDATE,CANDIDATE,4.458148970,2.8970000e-05,-2.8970000e-05,134.3974300,4.720000e-03,-4.720000e-03,0.754,0.223,-0.548,2.86700,0.15200,-0.15200,188.1,1.450e+01,-1.450e+01,1.61,0.52,-2.200e-01,1212.0,,,14.30,4,6100.00,193.00,-214.00,1.0830,0.3500,-0.1500,296.358670,39.115189,14.820
1774,4466677,K01338.02,,CANDIDATE,CANDIDATE,42.037066200,4.2780000e-04,-4.2780000e-04,178.2500600,7.480000e-03,-7.480000e-03,0.672,0.002,-0.517,6.28200,0.22000,-0.22000,266.8,1.830e+01,-1.830e+01,1.66,0.45,-2.400e-01,527.0,,,14.70,3,5823.00,157.00,-174.00,0.9600,0.2610,-0.1400,292.276120,39.550179,14.609
1775,4466677,K01338.03,,CANDIDATE,CANDIDATE,21.011206800,2.9070000e-04,-2.9070000e-04,132.6336000,1.150000e-02,-1.150000e-02,0.853,0.016,-0.598,4.50700,0.31900,-0.31900,163.6,1.700e+01,-1.700e+01,1.40,0.38,-2.000e-01,663.0,,,10.20,3,5823.00,157.00,-174.00,0.9600,0.2610,-0.1400,292.276120,39.550179,14.609
1792,7303287,K01353.03,,CANDIDATE,CANDIDATE,330.071558000,6.2720000e-03,-6.2720000e-03,340.9871000,1.090000e-02,-1.090000e-02,0.681,0.048,-0.491,4.29500,0.39800,-0.39800,616.7,6.600e+01,-6.600e+01,2.94,0.46,-3.800e-01,286.0,,,10.60,3,5933.00,107.00,-119.00,1.1150,0.1740,-0.1420,297.465330,42.882839,13.956
1796,7376983,K01358.01,,CANDIDATE,CANDIDATE,5.644914154,8.7780000e-06,-8.7780000e-06,356.7369900,1.100000e-03,-1.100000e-03,0.445,0.037,-0.445,2.25990,0.04330,-0.04330,1397.9,2.440e+01,-2.440e+01,2.66,0.25,-1.800e-01,744.0,,,63.90,4,4769.00,172.00,-172.00,0.7140,0.0680,-0.0490,295.825500,42.943390,15.505
1797,7376983,K01358.02,,CANDIDATE,CANDIDATE,8.742920050,3.3110000e-05,-3.3110000e-05,358.5928600,2.660000e-03,-2.660000e-03,0.025,0.416,-0.025,2.62770,0.08460,-0.08460,779.5,2.820e+01,-2.820e+01,1.92,0.18,-1.300e-01,643.0,,,30.70,4,4769.00,172.00,-172.00,0.7140,0.0680,-0.0490,295.825500,42.943390,15.505
1798,7376983,K01358.03,,CANDIDATE,CANDIDATE,3.648301830,1.6210000e-05,-1.6210000e-05,355.3912800,3.070000e-03,-3.070000e-03,0.063,0.396,-0.062,1.99850,0.09290,-0.09290,371.7,2.100e+01,-2.100e+01,1.33,0.12,-9.000e-02,860.0,,,19.90,4,4769.00,172.00,-172.00,0.7140,0.0680,-0.0490,295.825500,42.943390,15.505
1799,7376983,K01358.04,,CANDIDATE,CANDIDATE,2.345863002,9.5500000e-06,-9.5500000e-06,354.1118500,2.640000e-03,-2.640000e-03,0.035,0.438,-0.035,1.67950,0.08860,-0.08860,316.7,1.840e+01,-1.840e+01,1.23,0.11,-9.000e-02,997.0,,,19.60,4,4769.00,172.00,-172.00,0.7140,0.0680,-0.0490,295.825500,42.943390,15.505
1804,7102227,K01360.03,,CANDIDATE,CANDIDATE,0.764017553,3.7670000e-06,-3.7670000e-06,132.2214000,4.480000e-03,-4.480000e-03,0.442,0.500,-0.237,1.10300,0.14300,-0.14300,128.2,1.300e+01,-1.300e+01,0.86,0.12,-7.000e-02,1589.0,,,13.20,3,5142.00,153.00,-153.00,0.7550,0.0970,-0.0650,286.410000,42.681549,15.596
1882,11122894,K01426.03,,CANDIDATE,CANDIDATE,150.018951100,1.7440000e-04,-1.7440000e-04,224.6857140,9.160000e-04,-9.160000e-04,1.252,67.030,-0.169,4.38230,0.04860,-0.04860,4319.7,4.680e+01,-4.680e+01,32.60,3.60,-2.940e+00,325.0,,,106.20,3,5618.00,112.00,-112.00,0.8970,0.0990,-0.0810,283.209170,48.777641,14.232
1902,11599038,K01437.01,,CANDIDATE,CANDIDATE,7.017335710,5.1690000e-05,-5.1690000e-05,133.9059200,5.770000e-03,-5.770000e-03,0.581,0.021,-0.475,3.56700,0.18000,-0.18000,255.5,1.820e+01,-1.820e+01,1.61,0.50,-2.000e-01,984.0,,,15.50,3,6052.00,163.00,-199.00,0.9670,0.3040,-0.1210,284.846620,49.692402,15.280
1943,4770365,K01475.01,,CANDIDATE,CANDIDATE,1.609321941,3.0440000e-06,-3.0440000e-06,178.9417800,1.580000e-03,-1.580000e-03,0.016,0.463,-0.016,1.60670,0.05050,-0.05050,728.5,2.440e+01,-2.440e+01,1.57,0.07,-8.000e-02,958.0,,,35.30,3,4224.00,84.00,-84.00,0.6030,0.0270,-0.0300,297.430390,39.847839,15.937
1944,4770365,K01475.02,,CANDIDATE,CANDIDATE,9.512200460,3.2100000e-05,-3.2100000e-05,185.4789300,2.960000e-03,-2.960000e-03,0.133,0.337,-0.133,2.94970,0.08370,-0.08370,1169.4,4.020e+01,-4.020e+01,1.99,0.08,-1.000e-01,530.0,,,31.90,3,4224.00,84.00,-84.00,0.6030,0.0270,-0.0300,297.430390,39.847839,15.937
