# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Feb 13 03:43:33 2018
#
# CONSTRAINT:  where (koi_pdisposition not like '%FALSE POSITIVE%'
# CONSTRAINT:  )
# CONSTRAINT:  order by kepoi_name asc
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_count:      Number of Planets
# COLUMN koi_num_transits: Number of Transits
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag
18,8191672,K00018.01,Kepler-5 b,CONFIRMED,CANDIDATE,3.548465446,1.8300000e-07,-1.8300000e-07,122.9014315,4.260000e-05,-4.260000e-05,0.075,0.013,-0.053,4.56904,0.00118,-0.00118,7251.5,3.300e+00,-3.300e+00,14.92,1.08,-1.310e+00,2486.50,1,378,6290.00,125.00,-125.00,1.7460,0.1260,-0.1540,1.3190,0.0840,-0.1370,299.407010,44.035053,13.369
20,11804465,K00020.01,Kepler-12 b,CONFIRMED,CANDIDATE,4.437962934,1.7100000e-07,-1.7100000e-07,171.0091259,2.880000e-05,-2.880000e-05,0.069,0.007,-0.050,4.69813,0.00079,-0.00079,16387.6,5.300e+00,-5.300e+00,18.05,2.92,-3.570e+00,3535.60,1,238,5953.00,105.00,-129.00,1.4150,0.2290,-0.2800,1.0930,0.1090,-0.0890,286.243440,50.040379,13.438
22,9631995,K00022.01,Kepler-422 b,CONFIRMED,CANDIDATE,7.891448838,5.0600000e-07,-5.0600000e-07,177.2499624,5.030000e-05,-5.030000e-05,0.306,0.022,-0.028,4.28540,0.00697,-0.00697,10344.6,6.900e+00,-6.900e+00,12.63,2.13,-1.420e+00,1955.10,1,169,5972.00,72.00,-84.00,1.2370,0.2090,-0.1390,1.1480,0.0710,-0.0790,282.629670,46.323360,13.435
31,6521045,K00041.01,Kepler-100 c,CONFIRMED,CANDIDATE,12.815904210,1.9450000e-05,-1.9450000e-05,122.9468200,1.190000e-03,-1.190000e-03,0.580,0.005,-0.486,6.38560,0.04380,-0.04380,220.5,2.200e+00,-2.200e+00,2.26,0.15,-1.200e-01,106.70,3,104,5788.00,78.00,-78.00,1.4740,0.0940,-0.0790,1.0500,0.1260,-0.0680,291.385990,41.990269,11.197
32,6521045,K00041.02,Kepler-100 b,CONFIRMED,CANDIDATE,6.887070730,2.2770000e-05,-2.2770000e-05,133.1779700,2.680000e-03,-2.680000e-03,0.696,0.029,-0.508,4.46790,0.07570,-0.07570,68.7,2.000e+00,-2.000e+00,1.30,0.08,-7.000e-02,38.20,3,187,5788.00,78.00,-78.00,1.4740,0.0940,-0.0790,1.0500,0.1260,-0.0680,291.385990,41.990269,11.197
33,6521045,K00041.03,Kepler-100 d,CONFIRMED,CANDIDATE,35.333193200,2.2480000e-04,-2.2480000e-04,153.9824900,4.890000e-03,-4.890000e-03,0.656,0.270,-0.433,5.96600,0.12800,-0.12800,99.7,3.600e+00,-3.600e+00,1.55,0.10,-8.000e-02,28.80,3,35,5788.00,78.00,-78.00,1.4740,0.0940,-0.0790,1.0500,0.1260,-0.0680,291.385990,41.990269,11.197
34,8866102,K00042.01,Kepler-410 A b,CONFIRMED,CANDIDATE,17.833678340,1.3850000e-05,-1.3850000e-05,181.2339430,6.030000e-04,-6.030000e-04,0.013,0.278,-0.013,4.51120,0.01950,-0.01950,326.9,2.400e+00,-2.400e+00,2.43,0.12,-1.400e-01,154.50,1,75,6407.00,76.00,-83.00,1.3370,0.0670,-0.0740,1.2080,0.0680,-0.0930,283.150700,45.139832,9.364
38,10905239,K00046.01,Kepler-101 b,CONFIRMED,CANDIDATE,3.487688776,1.1050000e-06,-1.1050000e-06,170.9322170,2.530000e-04,-2.530000e-04,0.026,0.205,-0.026,3.83661,0.00947,-0.00947,1298.8,4.100e+00,-4.100e+00,5.64,0.83,-1.350e+00,350.60,2,386,5576.00,112.00,-101.00,1.5930,0.2350,-0.3820,1.0740,0.1080,-0.0970,283.255490,48.355232,13.770
39,10905239,K00046.02,Kepler-101 c,CONFIRMED,CANDIDATE,6.029772410,6.2640000e-05,-6.2640000e-05,132.4816200,7.570000e-03,-7.570000e-03,0.379,0.088,-0.379,3.96100,0.22900,-0.22900,54.6,5.100e+00,-5.100e+00,1.18,0.17,-2.900e-01,11.50,2,201,5576.00,112.00,-101.00,1.5930,0.2350,-0.3820,1.0740,0.1080,-0.0970,283.255490,48.355232,13.770
41,9527334,K00049.01,Kepler-461 b,CONFIRMED,CANDIDATE,8.313773040,4.2060000e-05,-4.2060000e-05,175.9913700,4.020000e-03,-4.020000e-03,0.002,0.432,-0.002,2.96400,0.12500,-0.12500,837.4,4.910e+01,-4.910e+01,2.74,0.43,-1.300e-01,19.60,1,157,5900.00,105.00,-117.00,0.9510,0.1520,-0.0450,1.0650,0.0590,-0.0740,292.249020,46.164822,13.704
46,11554435,K00063.01,Kepler-63 b,CONFIRMED,CANDIDATE,9.434141710,2.1360000e-05,-2.1360000e-05,177.8434600,1.770000e-03,-1.770000e-03,0.538,0.046,-0.434,2.81120,0.07750,-0.07750,3977.0,1.160e+02,-1.160e+02,5.73,0.78,-3.300e-01,40.20,1,144,5578.00,100.00,-111.00,0.8860,0.1200,-0.0510,0.9430,0.0510,-0.0690,289.226170,49.548199,11.582
47,7051180,K00064.01,,CANDIDATE,CANDIDATE,1.951082219,3.8880000e-06,-3.8880000e-06,157.5431600,1.590000e-03,-1.590000e-03,0.925,0.029,-0.721,1.69750,0.05340,-0.05340,1151.8,4.580e+01,-4.580e+01,10.35,0.77,-1.250e+00,30.10,1,687,5302.00,71.00,-87.00,2.4260,0.1810,-0.2930,1.2580,0.0700,-0.1510,296.510590,42.547440,13.143
50,3544595,K00069.01,Kepler-93 b,CONFIRMED,CANDIDATE,4.726740370,1.5700000e-06,-1.5700000e-06,134.9263960,2.710000e-04,-2.710000e-04,0.657,0.042,-0.449,2.92670,0.01640,-0.01640,273.1,1.100e+00,-1.100e+00,1.56,0.07,-7.000e-02,287.80,1,284,5648.00,76.00,-76.00,0.8940,0.0400,-0.0360,0.8660,0.0580,-0.0530,291.418300,38.672359,9.931
51,6850504,K00070.01,Kepler-20 c,CONFIRMED,CANDIDATE,10.854095934,4.9770000e-06,-4.9770000e-06,138.6080310,3.780000e-04,-3.780000e-04,0.422,0.034,-0.358,3.77680,0.02040,-0.02040,1034.4,4.500e+00,-4.500e+00,2.99,0.33,-2.700e-01,252.80,5,123,5465.00,109.00,-109.00,0.9250,0.1010,-0.0830,0.8760,0.0600,-0.0440,287.698000,42.338718,12.498
52,6850504,K00070.02,Kepler-20 b,CONFIRMED,CANDIDATE,3.696121272,2.3940000e-06,-2.3940000e-06,134.5014000,5.400000e-04,-5.400000e-04,0.016,0.371,-0.016,2.46300,0.01810,-0.01810,383.4,3.300e+00,-3.300e+00,1.78,0.19,-1.600e-01,130.00,5,343,5465.00,109.00,-109.00,0.9250,0.1010,-0.0830,0.8760,0.0600,-0.0440,287.698000,42.338718,12.498
53,6850504,K00070.03,Kepler-20 d,CONFIRMED,CANDIDATE,77.611442700,1.5360000e-04,-1.5360000e-04,164.7292000,1.680000e-03,-1.680000e-03,0.094,0.323,-0.094,7.17860,0.05630,-0.05630,814.5,8.400e+00,-8.400e+00,2.59,0.29,-2.300e-01,100.50,5,16,5465.00,109.00,-109.00,0.9250,0.1010,-0.0830,0.8760,0.0600,-0.0440,287.698000,42.338718,12.498
54,6850504,K00070.04,Kepler-20 e,CONFIRMED,CANDIDATE,6.098556030,2.5360000e-05,-2.5360000e-05,135.9290600,3.770000e-03,-3.770000e-03,0.210,0.241,-0.210,2.98150,0.09900,-0.09900,84.4,3.800e+00,-3.800e+00,0.84,0.09,-8.000e-02,24.80,5,196,5465.00,109.00,-109.00,0.9250,0.1010,-0.0830,0.8760,0.0600,-0.0440,287.698000,42.338718,12.498
55,6850504,K00070.05,Kepler-20 f,CONFIRMED,CANDIDATE,19.577607300,1.4270000e-04,-1.4270000e-04,135.2032000,5.970000e-03,-5.970000e-03,0.049,0.394,-0.049,3.38200,0.17000,-0.17000,98.1,6.000e+00,-6.000e+00,0.90,0.10,-8.000e-02,17.20,5,60,5465.00,109.00,-109.00,0.9250,0.1010,-0.0830,0.8760,0.0600,-0.0440,287.698000,42.338718,12.498
57,11904151,K00072.02,Kepler-10 c,CONFIRMED,CANDIDATE,45.294222970,5.6000000e-05,-5.6000000e-05,138.6787250,9.870000e-04,-9.870000e-04,0.025,0.333,-0.025,6.83000,0.03430,-0.03430,477.1,3.700e+00,-3.700e+00,2.26,0.12,-9.000e-02,134.80,2,26,5676.00,85.00,-68.00,1.0440,0.0570,-0.0420,0.8840,0.0690,-0.0420,285.679380,50.241299,10.961
59,7199397,K00075.01,,CANDIDATE,CANDIDATE,105.881766700,1.3120000e-04,-1.3120000e-04,156.9793500,1.010000e-03,-1.010000e-03,0.539,0.044,-0.149,18.04400,0.10200,-0.10200,1556.3,6.300e+00,-6.300e+00,10.16,0.94,-1.270e+00,301.80,1,14,5903.00,79.00,-79.00,2.4990,0.2330,-0.3110,1.3010,0.0910,-0.1220,291.497220,42.728481,10.775
63,10187017,K00082.01,Kepler-102 e,CONFIRMED,CANDIDATE,16.145671932,7.4400000e-06,-7.4400000e-06,134.7548770,3.940000e-04,-3.940000e-04,0.750,0.016,-0.514,3.72360,0.02500,-0.02500,941.1,4.200e+00,-4.200e+00,2.48,0.16,-1.000e-01,242.70,6,84,4900.00,98.00,-98.00,0.7410,0.0480,-0.0300,0.8060,0.0330,-0.0490,281.482730,47.208031,11.492
64,10187017,K00082.02,Kepler-102 d,CONFIRMED,CANDIDATE,10.311747860,1.2260000e-05,-1.2260000e-05,134.0799100,1.000000e-03,-1.000000e-03,0.747,0.089,-0.528,3.18180,0.03140,-0.03140,275.9,3.600e+00,-3.600e+00,1.34,0.09,-5.000e-02,81.70,6,126,4900.00,98.00,-98.00,0.7410,0.0480,-0.0300,0.8060,0.0330,-0.0490,281.482730,47.208031,11.492
65,10187017,K00082.03,Kepler-102 f,CONFIRMED,CANDIDATE,27.453614600,1.0770000e-04,-1.0770000e-04,145.0286600,3.450000e-03,-3.450000e-03,0.765,0.142,-0.556,3.74700,0.10100,-0.10100,136.4,5.300e+00,-5.300e+00,0.95,0.06,-4.000e-02,27.50,6,48,4900.00,98.00,-98.00,0.7410,0.0480,-0.0300,0.8060,0.0330,-0.0490,281.482730,47.208031,11.492
66,10187017,K00082.04,Kepler-102 c,CONFIRMED,CANDIDATE,7.071361190,3.0850000e-05,-3.0850000e-05,139.9876300,3.810000e-03,-3.810000e-03,0.658,0.292,-0.433,2.75700,0.11100,-0.11100,65.7,3.200e+00,-3.200e+00,0.63,0.04,-2.000e-02,22.40,6,182,4900.00,98.00,-98.00,0.7410,0.0480,-0.0300,0.8060,0.0330,-0.0490,281.482730,47.208031,11.492
67,10187017,K00082.05,Kepler-102 b,CONFIRMED,CANDIDATE,5.286919960,2.9470000e-05,-2.9470000e-05,135.8542700,4.520000e-03,-4.520000e-03,0.705,0.230,-0.494,2.57900,0.13600,-0.13600,41.5,2.900e+00,-2.900e+00,0.51,0.03,-2.000e-02,15.80,6,228,4900.00,98.00,-98.00,0.7410,0.0480,-0.0300,0.8060,0.0330,-0.0490,281.482730,47.208031,11.492
68,10187017,K00082.06,,CANDIDATE,CANDIDATE,22.409867700,1.6510000e-04,-1.6510000e-04,147.3836600,6.460000e-03,-6.460000e-03,0.869,0.077,-0.611,2.27100,0.20300,-0.20300,69.8,6.700e+00,-6.700e+00,0.73,0.05,-3.000e-02,11.90,6,53,4900.00,98.00,-98.00,0.7410,0.0480,-0.0300,0.8060,0.0330,-0.0490,281.482730,47.208031,11.492
69,2571238,K00084.01,Kepler-19 b,CONFIRMED,CANDIDATE,9.286964466,3.8310000e-06,-3.8310000e-06,135.9945000,3.400000e-04,-3.400000e-04,0.004,0.340,-0.004,3.36490,0.01450,-0.01450,691.7,3.200e+00,-3.200e+00,2.10,0.26,-1.000e-01,251.90,1,144,5546.00,100.00,-111.00,0.8100,0.0990,-0.0400,0.9070,0.0380,-0.0760,290.420810,37.851799,11.898
70,5866724,K00085.01,Kepler-65 c,CONFIRMED,CANDIDATE,5.859935955,3.7820000e-06,-3.7820000e-06,132.0405280,5.420000e-04,-5.420000e-04,0.049,0.281,-0.049,4.01850,0.01680,-0.01680,322.8,1.900e+00,-1.900e+00,2.56,0.10,-1.500e-01,186.70,3,232,6181.00,68.00,-86.00,1.4240,0.0560,-0.0850,1.2310,0.0590,-0.0970,288.688690,41.151180,11.018
71,5866724,K00085.02,Kepler-65 b,CONFIRMED,CANDIDATE,2.154911236,2.5070000e-06,-2.5070000e-06,133.4986130,9.390000e-04,-9.390000e-04,0.113,0.345,-0.113,3.13410,0.02700,-0.02700,99.7,1.400e+00,-1.400e+00,1.42,0.06,-8.000e-02,83.00,3,576,6181.00,68.00,-86.00,1.4240,0.0560,-0.0850,1.2310,0.0590,-0.0970,288.688690,41.151180,11.018
72,5866724,K00085.03,Kepler-65 d,CONFIRMED,CANDIDATE,8.131213890,1.9020000e-05,-1.9020000e-05,137.9925400,1.880000e-03,-1.880000e-03,0.622,0.059,-0.457,4.23860,0.05540,-0.05540,111.8,2.200e+00,-2.200e+00,1.58,0.06,-1.000e-01,55.30,3,131,6181.00,68.00,-86.00,1.4240,0.0560,-0.0850,1.2310,0.0590,-0.0970,288.688690,41.151180,11.018
73,10593626,K00087.01,Kepler-22 b,CONFIRMED,CANDIDATE,289.864067000,1.2100000e-03,-1.2100000e-03,133.6971900,2.140000e-03,-2.140000e-03,0.856,0.043,-0.649,7.56500,0.10800,-0.10800,529.1,1.050e+01,-1.050e+01,2.34,0.22,-2.300e-01,57.40,1,4,5516.00,82.00,-74.00,0.8860,0.0800,-0.0890,0.7990,0.0660,-0.0350,289.217500,47.884460,11.664
75,8056665,K00089.01,Kepler-462 b,CONFIRMED,CANDIDATE,84.687752400,1.7780000e-04,-1.7780000e-04,150.5708400,1.720000e-03,-1.720000e-03,0.017,0.303,-0.017,10.02480,0.05200,-0.05200,347.7,4.100e+00,-4.100e+00,3.37,0.58,-7.800e-01,95.10,2,18,6688.00,120.00,-147.00,1.7900,0.3110,-0.4150,1.3530,0.0960,-0.1780,299.821170,43.814270,11.642
76,8056665,K00089.02,,CANDIDATE,CANDIDATE,207.582930600,5.7370000e-04,-5.7370000e-04,289.8831100,2.040000e-03,-2.040000e-03,0.840,0.031,-0.572,7.06860,0.08660,-0.08660,505.1,7.600e+00,-7.600e+00,4.52,0.79,-1.040e+00,70.00,2,6,6688.00,120.00,-147.00,1.7900,0.3110,-0.4150,1.3530,0.0960,-0.1780,299.821170,43.814270,11.642
78,7941200,K00092.01,,CANDIDATE,CANDIDATE,65.704527500,1.0610000e-04,-1.0610000e-04,137.4427500,1.400000e-03,-1.400000e-03,0.663,0.197,-0.434,3.31040,0.04690,-0.04690,636.1,1.030e+01,-1.030e+01,2.78,0.42,-2.500e-01,70.40,1,20,5918.00,106.00,-130.00,1.0430,0.1580,-0.0920,1.0030,0.0720,-0.0640,283.374820,43.788219,11.667
79,6462863,K00094.01,Kepler-89 d,CONFIRMED,CANDIDATE,22.342964828,3.4040000e-06,-3.4040000e-06,132.7416410,1.280000e-04,-1.280000e-04,0.031,0.045,-0.031,6.66405,0.00390,-0.00390,5612.8,5.300e+00,-5.300e+00,9.99,1.82,-1.500e+00,1118.90,4,30,6181.00,111.00,-135.00,1.3310,0.2430,-0.1990,1.1060,0.1160,-0.0740,297.333070,41.891121,12.205
80,6462863,K00094.02,Kepler-89 c,CONFIRMED,CANDIDATE,10.423677439,7.1730000e-06,-7.1730000e-06,138.0090410,5.840000e-04,-5.840000e-04,0.005,0.299,-0.005,5.22570,0.02100,-0.02100,777.3,4.100e+00,-4.100e+00,3.72,0.67,-5.600e-01,204.40,4,57,6181.00,111.00,-135.00,1.3310,0.2430,-0.1990,1.1060,0.1160,-0.0740,297.333070,41.891121,12.205
81,6462863,K00094.03,Kepler-89 e,CONFIRMED,CANDIDATE,54.319961510,3.3910000e-05,-3.3910000e-05,161.2398690,5.030000e-04,-5.030000e-04,0.497,0.005,-0.357,8.58580,0.02430,-0.02430,1975.0,7.200e+00,-7.200e+00,6.07,1.11,-9.100e-01,291.30,4,11,6181.00,111.00,-135.00,1.3310,0.2430,-0.1990,1.1060,0.1160,-0.0740,297.333070,41.891121,12.205
82,6462863,K00094.04,Kepler-89 b,CONFIRMED,CANDIDATE,3.743166733,5.6140000e-06,-5.6140000e-06,131.6196700,1.420000e-03,-1.420000e-03,0.008,0.392,-0.008,3.68880,0.04210,-0.04210,126.3,2.200e+00,-2.200e+00,1.50,0.27,-2.300e-01,47.20,4,154,6181.00,111.00,-135.00,1.3310,0.2430,-0.1990,1.1060,0.1160,-0.0740,297.333070,41.891121,12.205
83,5780885,K00097.01,Kepler-7 b,CONFIRMED,CANDIDATE,4.885488596,2.6600000e-07,-2.6600000e-07,134.2768785,4.530000e-05,-4.530000e-05,0.361,0.014,-0.017,5.16165,0.00597,-0.00597,7458.4,3.700e+00,-3.700e+00,16.66,1.04,-7.000e-01,2590.10,1,277,6036.00,78.00,-72.00,1.9090,0.1200,-0.0800,1.2360,0.1540,-0.0660,288.581510,41.089809,12.885
84,10264660,K00098.01,Kepler-14 b,CONFIRMED,CANDIDATE,6.790120801,1.9050000e-06,-1.9050000e-06,138.0881990,2.310000e-04,-2.310000e-04,0.486,0.051,-0.095,6.04370,0.02850,-0.02850,2302.3,5.700e+00,-5.700e+00,9.86,0.72,-3.600e-01,526.10,1,198,6372.00,76.00,-89.00,2.0010,0.1460,-0.0730,1.3130,0.1700,-0.0850,287.708830,47.333050,12.128
