# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Feb  2 04:14:41 2018
#
# CONSTRAINT:  where (koi_disposition like '%CONFIRMED%'
# CONSTRAINT:  and koi_count > 2
# CONSTRAINT:  )
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_count:      Number of Planets
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_model_snr,koi_count,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
65,10187017,K00082.03,Kepler-102 f,CONFIRMED,CANDIDATE,27.453614600,1.0770000e-04,-1.0770000e-04,145.0286600,3.450000e-03,-3.450000e-03,0.765,0.142,-0.556,3.74700,0.10100,-0.10100,136.4,5.300e+00,-5.300e+00,0.95,0.06,-4.000e-02,457.0,,,27.50,6,4900.00,98.00,-98.00,0.7410,0.0480,-0.0300,281.482730,47.208031,11.492
66,10187017,K00082.04,Kepler-102 c,CONFIRMED,CANDIDATE,7.071361190,3.0850000e-05,-3.0850000e-05,139.9876300,3.810000e-03,-3.810000e-03,0.658,0.292,-0.433,2.75700,0.11100,-0.11100,65.7,3.200e+00,-3.200e+00,0.63,0.04,-2.000e-02,719.0,,,22.40,6,4900.00,98.00,-98.00,0.7410,0.0480,-0.0300,281.482730,47.208031,11.492
67,10187017,K00082.05,Kepler-102 b,CONFIRMED,CANDIDATE,5.286919960,2.9470000e-05,-2.9470000e-05,135.8542700,4.520000e-03,-4.520000e-03,0.705,0.230,-0.494,2.57900,0.13600,-0.13600,41.5,2.900e+00,-2.900e+00,0.51,0.03,-2.000e-02,792.0,,,15.80,6,4900.00,98.00,-98.00,0.7410,0.0480,-0.0300,281.482730,47.208031,11.492
70,5866724,K00085.01,Kepler-65 c,CONFIRMED,CANDIDATE,5.859935955,3.7820000e-06,-3.7820000e-06,132.0405280,5.420000e-04,-5.420000e-04,0.049,0.281,-0.049,4.01850,0.01680,-0.01680,322.8,1.900e+00,-1.900e+00,2.56,0.10,-1.500e-01,1246.0,,,186.70,3,6181.00,68.00,-86.00,1.4240,0.0560,-0.0850,288.688690,41.151180,11.018
71,5866724,K00085.02,Kepler-65 b,CONFIRMED,CANDIDATE,2.154911236,2.5070000e-06,-2.5070000e-06,133.4986130,9.390000e-04,-9.390000e-04,0.113,0.345,-0.113,3.13410,0.02700,-0.02700,99.7,1.400e+00,-1.400e+00,1.42,0.06,-8.000e-02,1740.0,,,83.00,3,6181.00,68.00,-86.00,1.4240,0.0560,-0.0850,288.688690,41.151180,11.018
72,5866724,K00085.03,Kepler-65 d,CONFIRMED,CANDIDATE,8.131213890,1.9020000e-05,-1.9020000e-05,137.9925400,1.880000e-03,-1.880000e-03,0.622,0.059,-0.457,4.23860,0.05540,-0.05540,111.8,2.200e+00,-2.200e+00,1.58,0.06,-1.000e-01,1117.0,,,55.30,3,6181.00,68.00,-86.00,1.4240,0.0560,-0.0850,288.688690,41.151180,11.018
79,6462863,K00094.01,Kepler-89 d,CONFIRMED,CANDIDATE,22.342964828,3.4040000e-06,-3.4040000e-06,132.7416410,1.280000e-04,-1.280000e-04,0.031,0.045,-0.031,6.66405,0.00390,-0.00390,5612.8,5.300e+00,-5.300e+00,9.99,1.82,-1.500e+00,785.0,,,1118.90,4,6181.00,111.00,-135.00,1.3310,0.2430,-0.1990,297.333070,41.891121,12.205
80,6462863,K00094.02,Kepler-89 c,CONFIRMED,CANDIDATE,10.423677439,7.1730000e-06,-7.1730000e-06,138.0090410,5.840000e-04,-5.840000e-04,0.005,0.299,-0.005,5.22570,0.02100,-0.02100,777.3,4.100e+00,-4.100e+00,3.72,0.67,-5.600e-01,1012.0,,,204.40,4,6181.00,111.00,-135.00,1.3310,0.2430,-0.1990,297.333070,41.891121,12.205
81,6462863,K00094.03,Kepler-89 e,CONFIRMED,CANDIDATE,54.319961510,3.3910000e-05,-3.3910000e-05,161.2398690,5.030000e-04,-5.030000e-04,0.497,0.005,-0.357,8.58580,0.02430,-0.02430,1975.0,7.200e+00,-7.200e+00,6.07,1.11,-9.100e-01,584.0,,,291.30,4,6181.00,111.00,-135.00,1.3310,0.2430,-0.1990,297.333070,41.891121,12.205
82,6462863,K00094.04,Kepler-89 b,CONFIRMED,CANDIDATE,3.743166733,5.6140000e-06,-5.6140000e-06,131.6196700,1.420000e-03,-1.420000e-03,0.008,0.392,-0.008,3.68880,0.04210,-0.04210,126.3,2.200e+00,-2.200e+00,1.50,0.27,-2.300e-01,1423.0,,,47.20,4,6181.00,111.00,-135.00,1.3310,0.2430,-0.1990,297.333070,41.891121,12.205
97,6678383,K00111.01,Kepler-104 b,CONFIRMED,CANDIDATE,11.427550984,8.1500000e-06,-8.1500000e-06,137.6137110,5.570000e-04,-5.570000e-04,0.608,0.040,-0.409,4.60740,0.01750,-0.01750,500.9,3.300e+00,-3.300e+00,2.35,0.32,-2.700e-01,852.0,,,165.50,3,5979.00,108.00,-120.00,1.0050,0.1380,-0.1130,287.604610,42.166779,12.596
98,6678383,K00111.02,Kepler-104 c,CONFIRMED,CANDIDATE,23.668346350,3.0030000e-05,-3.0030000e-05,132.7142100,1.040000e-03,-1.040000e-03,0.758,0.085,-0.542,5.82970,0.03780,-0.03780,449.4,4.200e+00,-4.200e+00,2.32,0.31,-2.600e-01,668.0,,,112.80,3,5979.00,108.00,-120.00,1.0050,0.1380,-0.1130,287.604610,42.166779,12.596
99,6678383,K00111.03,Kepler-104 d,CONFIRMED,CANDIDATE,51.755305040,8.5350000e-05,-8.5350000e-05,271.0880800,1.250000e-03,-1.250000e-03,0.638,0.180,-0.412,7.43550,0.05790,-0.05790,609.2,5.600e+00,-5.600e+00,2.61,0.35,-3.000e-01,515.0,,,116.90,3,5979.00,108.00,-120.00,1.0050,0.1380,-0.1130,287.604610,42.166779,12.596
103,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,5.412203927,3.0520000e-06,-3.0520000e-06,133.1430890,4.680000e-04,-4.680000e-04,0.787,0.005,-0.565,2.94720,0.02400,-0.02400,601.6,4.000e+00,-4.000e+00,2.94,0.43,-3.800e-01,1093.0,,,166.70,3,5779.00,104.00,-115.00,1.0870,0.1570,-0.1420,287.887330,46.276241,12.791
104,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,7.125943870,1.4060000e-05,-1.4060000e-05,139.0049200,1.590000e-03,-1.590000e-03,0.898,0.013,-0.699,3.00140,0.03840,-0.03840,192.4,4.400e+00,-4.400e+00,1.79,0.26,-2.300e-01,997.0,,,47.10,3,5779.00,104.00,-115.00,1.0870,0.1570,-0.1420,287.887330,46.276241,12.791
106,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,13.570782810,1.5850000e-05,-1.5850000e-05,136.2791940,9.570000e-04,-9.570000e-04,0.866,0.015,-0.621,3.35390,0.04890,-0.04890,511.7,6.300e+00,-6.300e+00,2.64,0.40,-2.700e-01,785.0,,,88.40,4,5854.00,105.00,-117.00,1.0120,0.1540,-0.1030,300.863980,44.337551,12.882
107,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,43.844397210,9.6130000e-05,-9.6130000e-05,151.9353800,1.920000e-03,-1.920000e-03,0.852,0.039,-0.585,6.80200,0.11900,-0.11900,615.2,7.700e+00,-7.700e+00,2.87,0.43,-3.000e-01,531.0,,,83.70,4,5854.00,105.00,-117.00,1.0120,0.1540,-0.1030,300.863980,44.337551,12.882
108,8395660,K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,6.164876000,4.6350000e-05,-4.6350000e-05,135.6391600,6.610000e-03,-6.610000e-03,0.646,0.323,-0.430,3.26200,0.18600,-0.18600,55.8,4.300e+00,-4.300e+00,0.79,0.13,-8.000e-02,1021.0,,,14.40,4,5854.00,105.00,-117.00,1.0120,0.1540,-0.1030,300.863980,44.337551,12.882
109,8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,23.980085400,2.0030000e-04,-2.0030000e-04,147.5370000,6.470000e-03,-6.470000e-03,0.950,0.004,-0.660,5.35100,0.17700,-0.17700,104.0,6.500e+00,-6.500e+00,1.31,0.20,-1.300e-01,649.0,,,17.10,4,5854.00,105.00,-117.00,1.0120,0.1540,-0.1030,300.863980,44.337551,12.882
110,10875245,K00117.01,Kepler-107 e,CONFIRMED,CANDIDATE,14.749148250,2.1740000e-05,-2.1740000e-05,138.7779900,1.180000e-03,-1.180000e-03,0.173,0.262,-0.173,6.09950,0.04400,-0.04400,430.2,4.200e+00,-4.200e+00,2.89,0.13,-1.000e-01,874.0,,,107.40,4,5847.00,64.00,-75.00,1.4020,0.0630,-0.0460,297.028260,48.208611,12.487
111,10875245,K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE,4.901449760,1.0700000e-05,-1.0700000e-05,138.6054800,1.750000e-03,-1.750000e-03,0.529,0.021,-0.460,4.16540,0.05850,-0.05850,140.7,2.900e+00,-2.900e+00,1.70,0.08,-5.000e-02,1262.0,,,50.60,4,5847.00,64.00,-75.00,1.4020,0.0630,-0.0460,297.028260,48.208611,12.487
112,10875245,K00117.03,Kepler-107 b,CONFIRMED,CANDIDATE,3.180027898,7.2780000e-06,-7.2780000e-06,133.4986300,1.810000e-03,-1.810000e-03,0.196,0.242,-0.196,3.57970,0.05580,-0.05580,120.3,2.700e+00,-2.700e+00,1.53,0.07,-5.000e-02,1458.0,,,50.40,4,5847.00,64.00,-75.00,1.4020,0.0630,-0.0460,297.028260,48.208611,12.487
113,10875245,K00117.04,Kepler-107 d,CONFIRMED,CANDIDATE,7.958253280,7.6730000e-05,-7.6730000e-05,137.8021900,7.670000e-03,-7.670000e-03,0.706,0.237,-0.494,4.37700,0.22900,-0.22900,50.0,3.700e+00,-3.700e+00,1.06,0.05,-4.000e-02,1074.0,,,14.70,4,5847.00,64.00,-75.00,1.4020,0.0630,-0.0460,297.028260,48.208611,12.487
137,8644288,K00137.01,Kepler-18 c,CONFIRMED,CANDIDATE,7.641567589,1.7690000e-06,-1.7690000e-06,135.4075640,1.910000e-04,-1.910000e-04,0.027,0.167,-0.027,3.41018,0.00733,-0.00733,2269.7,5.800e+00,-5.800e+00,4.91,0.30,-3.300e-01,899.0,,,437.50,3,5356.00,112.00,-72.00,1.0550,0.0650,-0.0720,298.079440,44.746319,13.549
138,8644288,K00137.02,Kepler-18 d,CONFIRMED,CANDIDATE,14.858908520,3.8080000e-06,-3.8080000e-06,128.1548690,2.170000e-04,-2.170000e-04,0.255,0.052,-0.225,3.52520,0.01330,-0.01330,3269.0,7.700e+00,-7.700e+00,5.94,0.37,-4.000e-01,720.0,,,456.80,3,5356.00,112.00,-72.00,1.0550,0.0650,-0.0720,298.079440,44.746319,13.549
139,8644288,K00137.03,Kepler-18 b,CONFIRMED,CANDIDATE,3.504691252,3.0910000e-06,-3.0910000e-06,133.5119410,7.140000e-04,-7.140000e-04,0.741,0.004,-0.550,1.98110,0.02270,-0.02270,315.1,5.100e+00,-5.100e+00,2.03,0.13,-1.400e-01,1165.0,,,67.50,3,5356.00,112.00,-72.00,1.0550,0.0650,-0.0720,298.079440,44.746319,13.549
150,5735762,K00148.01,Kepler-48 b,CONFIRMED,CANDIDATE,4.778003060,3.3820000e-06,-3.3820000e-06,124.0614650,5.880000e-04,-5.880000e-04,0.020,0.359,-0.020,2.73610,0.01840,-0.01840,473.0,4.600e+00,-4.600e+00,1.85,0.13,-1.400e-01,932.0,,,115.40,3,5192.00,103.00,-103.00,0.8730,0.0650,-0.0650,299.139220,40.949020,13.040
151,5735762,K00148.02,Kepler-48 c,CONFIRMED,CANDIDATE,9.673958488,5.4620000e-06,-5.4620000e-06,125.3394180,4.660000e-04,-4.660000e-04,0.194,0.132,-0.194,3.26410,0.01650,-0.01650,952.7,5.800e+00,-5.800e+00,2.63,0.20,-1.900e-01,736.0,,,178.00,3,5192.00,103.00,-103.00,0.8730,0.0650,-0.0650,299.139220,40.949020,13.040
152,5735762,K00148.03,Kepler-48 d,CONFIRMED,CANDIDATE,42.896450240,9.4310000e-05,-9.4310000e-05,146.0613000,1.860000e-03,-1.860000e-03,0.007,0.397,-0.007,5.68970,0.05600,-0.05600,555.3,8.600e+00,-8.600e+00,2.00,0.15,-1.500e-01,448.0,,,66.80,3,5192.00,103.00,-103.00,0.8730,0.0650,-0.0650,299.139220,40.949020,13.040
157,8394721,K00152.01,Kepler-79 d,CONFIRMED,CANDIDATE,52.090816270,4.2060000e-05,-4.2060000e-05,158.7446650,6.700000e-04,-6.700000e-04,0.065,0.113,-0.065,8.63880,0.02280,-0.02280,2894.1,1.260e+01,-1.260e+01,7.14,1.33,-1.090e+00,592.0,,,243.50,4,6198.00,111.00,-136.00,1.3240,0.2470,-0.2020,300.517120,44.381580,13.914
158,8394721,K00152.02,Kepler-79 c,CONFIRMED,CANDIDATE,27.402298590,5.1360000e-05,-5.1360000e-05,133.6284000,1.500000e-03,-1.500000e-03,0.022,0.296,-0.022,6.84910,0.04790,-0.04790,747.5,1.000e+01,-1.000e+01,3.63,0.67,-5.600e-01,734.0,,,79.30,4,6198.00,111.00,-136.00,1.3240,0.2470,-0.2020,300.517120,44.381580,13.914
159,8394721,K00152.03,Kepler-79 b,CONFIRMED,CANDIDATE,13.484576680,2.3000000e-05,-2.3000000e-05,136.6180800,1.320000e-03,-1.320000e-03,0.011,0.319,-0.011,5.01970,0.03950,-0.03950,653.5,8.800e+00,-8.800e+00,3.39,0.63,-5.200e-01,929.0,,,80.80,4,6198.00,111.00,-136.00,1.3240,0.2470,-0.2020,300.517120,44.381580,13.914
160,8394721,K00152.04,Kepler-79 e,CONFIRMED,CANDIDATE,81.063789500,4.0770000e-04,-4.0770000e-04,139.5349200,4.300000e-03,-4.300000e-03,0.584,0.360,-0.379,3.00100,0.12600,-0.12600,476.0,2.600e+01,-2.600e+01,3.01,0.56,-4.600e-01,511.0,,,19.40,4,6198.00,111.00,-136.00,1.3240,0.2470,-0.2020,300.517120,44.381580,13.914
164,10925104,K00156.01,Kepler-114 c,CONFIRMED,CANDIDATE,8.041347775,8.9150000e-06,-8.9150000e-06,143.0382920,9.160000e-04,-9.160000e-04,0.260,0.134,-0.259,2.63320,0.03030,-0.03030,591.0,8.300e+00,-8.300e+00,1.29,0.08,-7.000e-02,507.0,,,77.50,3,3980.00,79.00,-79.00,0.5400,0.0330,-0.0330,294.121430,48.349522,13.738
165,10925104,K00156.02,Kepler-114 b,CONFIRMED,CANDIDATE,5.188563677,6.3660000e-06,-6.3660000e-06,145.3622520,9.920000e-04,-9.920000e-04,0.179,0.209,-0.179,2.36830,0.02970,-0.02970,358.7,7.000e+00,-7.000e+00,1.00,0.07,-6.000e-02,586.0,,,56.40,3,3980.00,79.00,-79.00,0.5400,0.0330,-0.0330,294.121430,48.349522,13.738
166,10925104,K00156.03,Kepler-114 d,CONFIRMED,CANDIDATE,11.776132317,6.9630000e-06,-6.9630000e-06,142.7057530,4.980000e-04,-4.980000e-04,0.540,0.266,-0.335,2.89710,0.02610,-0.02610,1430.8,9.600e+00,-9.600e+00,2.08,0.13,-1.200e-01,446.0,,,163.50,3,3980.00,79.00,-79.00,0.5400,0.0330,-0.0330,294.121430,48.349522,13.738
167,6541920,K00157.01,Kepler-11 c,CONFIRMED,CANDIDATE,13.024933070,1.2630000e-05,-1.2630000e-05,138.1761570,7.790000e-04,-7.790000e-04,0.004,0.337,-0.004,4.57060,0.02830,-0.02830,778.4,6.700e+00,-6.700e+00,2.88,0.19,-1.800e-01,786.0,,,119.30,6,5657.00,113.00,-101.00,1.0460,0.0680,-0.0680,297.115110,41.909142,13.709
168,6541920,K00157.02,Kepler-11 d,CONFIRMED,CANDIDATE,22.687155000,2.6450000e-05,-2.6450000e-05,148.4554350,9.680000e-04,-9.680000e-04,0.023,0.363,-0.023,5.49210,0.03550,-0.03550,960.0,8.100e+00,-8.100e+00,3.20,0.21,-2.100e-01,653.0,,,122.80,6,5657.00,113.00,-101.00,1.0460,0.0680,-0.0680,297.115110,41.909142,13.709
169,6541920,K00157.03,Kepler-11 e,CONFIRMED,CANDIDATE,31.995524850,3.1090000e-05,-3.1090000e-05,154.1607450,7.580000e-04,-7.580000e-04,0.690,0.139,-0.465,4.28170,0.04850,-0.04850,1376.1,1.120e+01,-1.120e+01,4.12,0.27,-2.600e-01,582.0,,,128.00,6,5657.00,113.00,-101.00,1.0460,0.0680,-0.0680,297.115110,41.909142,13.709
170,6541920,K00157.04,Kepler-11 f,CONFIRMED,CANDIDATE,46.685620500,1.1200000e-04,-1.1200000e-04,225.0460400,1.790000e-03,-1.790000e-03,0.217,0.187,-0.217,6.37940,0.06150,-0.06150,588.8,1.000e+01,-1.000e+01,2.52,0.16,-1.600e-01,513.0,,,59.00,6,5657.00,113.00,-101.00,1.0460,0.0680,-0.0680,297.115110,41.909142,13.709
171,6541920,K00157.05,Kepler-11 g,CONFIRMED,CANDIDATE,118.378673500,3.1670000e-04,-3.1670000e-04,287.2874400,2.060000e-03,-2.060000e-03,0.011,0.328,-0.010,9.55740,0.06560,-0.06560,1083.3,1.300e+01,-1.300e+01,3.40,0.22,-2.200e-01,376.0,,,83.10,6,5657.00,113.00,-101.00,1.0460,0.0680,-0.0680,297.115110,41.909142,13.709
172,6541920,K00157.06,Kepler-11 b,CONFIRMED,CANDIDATE,10.304011320,1.8350000e-05,-1.8350000e-05,138.5037700,1.450000e-03,-1.450000e-03,0.017,0.363,-0.017,4.22460,0.04190,-0.04190,316.1,6.000e+00,-6.000e+00,1.84,0.12,-1.200e-01,849.0,,,53.80,6,5657.00,113.00,-101.00,1.0460,0.0680,-0.0680,297.115110,41.909142,13.709
184,11512246,K00168.01,Kepler-23 c,CONFIRMED,CANDIDATE,10.742417650,1.6200000e-05,-1.6200000e-05,133.2867000,1.250000e-03,-1.250000e-03,0.034,0.257,-0.034,6.06330,0.03480,-0.03480,415.2,4.600e+00,-4.600e+00,3.06,0.19,-1.200e-01,1008.0,,,95.40,3,5761.00,86.00,-69.00,1.5180,0.0920,-0.0610,294.218930,49.479221,13.438
